FSA,State
7001,NJ
7001,NJ
7001,NJ
7001,NJ
7002,NJ
7002,NJ
7002,NJ
7002,NJ
7008,NJ
7008,NJ
7008,NJ
7008,NJ
7016,NJ
7016,NJ
7016,NJ
7016,NJ
7017,NJ
7017,NJ
7017,NJ
7017,NJ
7018,NJ
7018,NJ
7018,NJ
7018,NJ
7019,NJ
7019,NJ
7019,NJ
7019,NJ
7021,NJ
7021,NJ
7021,NJ
7021,NJ
7023,NJ
7023,NJ
7023,NJ
7023,NJ
7027,NJ
7027,NJ
7027,NJ
7027,NJ
7029,NJ
7029,NJ
7029,NJ
7029,NJ
7030,NJ
7030,NJ
7030,NJ
7030,NJ
7031,NJ
7031,NJ
7031,NJ
7031,NJ
7032,NJ
7032,NJ
7032,NJ
7032,NJ
7033,NJ
7033,NJ
7033,NJ
7033,NJ
7036,NJ
7036,NJ
7036,NJ
7036,NJ
7039,NJ
7039,NJ
7039,NJ
7039,NJ
7040,NJ
7040,NJ
7040,NJ
7040,NJ
7041,NJ
7041,NJ
7041,NJ
7041,NJ
7050,NJ
7050,NJ
7050,NJ
7050,NJ
7051,NJ
7051,NJ
7051,NJ
7051,NJ
7052,NJ
7052,NJ
7052,NJ
7052,NJ
7059,NJ
7059,NJ
7059,NJ
7059,NJ
7060,NJ
7060,NJ
7060,NJ
7060,NJ
7061,NJ
7061,NJ
7061,NJ
7061,NJ
7062,NJ
7062,NJ
7062,NJ
7062,NJ
7063,NJ
7063,NJ
7063,NJ
7063,NJ
7064,NJ
7064,NJ
7064,NJ
7064,NJ
7065,NJ
7065,NJ
7065,NJ
7065,NJ
7066,NJ
7066,NJ
7066,NJ
7066,NJ
7067,NJ
7067,NJ
7067,NJ
7067,NJ
7068,NJ
7068,NJ
7068,NJ
7068,NJ
7069,NJ
7069,NJ
7069,NJ
7069,NJ
7076,NJ
7076,NJ
7076,NJ
7076,NJ
7077,NJ
7077,NJ
7077,NJ
7077,NJ
7078,NJ
7078,NJ
7078,NJ
7078,NJ
7079,NJ
7079,NJ
7079,NJ
7079,NJ
7080,NJ
7080,NJ
7080,NJ
7080,NJ
7081,NJ
7081,NJ
7081,NJ
7081,NJ
7083,NJ
7083,NJ
7083,NJ
7083,NJ
7086,NJ
7086,NJ
7086,NJ
7086,NJ
7087,NJ
7087,NJ
7087,NJ
7087,NJ
7088,NJ
7088,NJ
7088,NJ
7088,NJ
7090,NJ
7090,NJ
7090,NJ
7090,NJ
7091,NJ
7091,NJ
7091,NJ
7091,NJ
7092,NJ
7092,NJ
7092,NJ
7092,NJ
7095,NJ
7095,NJ
7095,NJ
7095,NJ
7096,NJ
7096,NJ
7096,NJ
7096,NJ
7097,NJ
7097,NJ
7097,NJ
7097,NJ
7099,NJ
7099,NJ
7099,NJ
7099,NJ
7101,NJ
7101,NJ
7101,NJ
7101,NJ
7102,NJ
7102,NJ
7102,NJ
7102,NJ
7103,NJ
7103,NJ
7103,NJ
7103,NJ
7104,NJ
7104,NJ
7104,NJ
7104,NJ
7105,NJ
7105,NJ
7105,NJ
7105,NJ
7106,NJ
7106,NJ
7106,NJ
7106,NJ
7107,NJ
7107,NJ
7107,NJ
7107,NJ
7108,NJ
7108,NJ
7108,NJ
7108,NJ
7111,NJ
7111,NJ
7111,NJ
7111,NJ
7112,NJ
7112,NJ
7112,NJ
7112,NJ
7114,NJ
7114,NJ
7114,NJ
7114,NJ
7175,NJ
7175,NJ
7175,NJ
7175,NJ
7184,NJ
7184,NJ
7184,NJ
7184,NJ
7188,NJ
7188,NJ
7188,NJ
7188,NJ
7191,NJ
7191,NJ
7191,NJ
7191,NJ
7192,NJ
7192,NJ
7192,NJ
7192,NJ
7193,NJ
7193,NJ
7193,NJ
7193,NJ
7195,NJ
7195,NJ
7195,NJ
7195,NJ
7198,NJ
7198,NJ
7198,NJ
7198,NJ
7199,NJ
7199,NJ
7199,NJ
7199,NJ
7201,NJ
7201,NJ
7201,NJ
7201,NJ
7202,NJ
7202,NJ
7202,NJ
7202,NJ
7203,NJ
7203,NJ
7203,NJ
7203,NJ
7204,NJ
7204,NJ
7204,NJ
7204,NJ
7205,NJ
7205,NJ
7205,NJ
7205,NJ
7206,NJ
7206,NJ
7206,NJ
7206,NJ
7207,NJ
7207,NJ
7207,NJ
7207,NJ
7208,NJ
7208,NJ
7208,NJ
7208,NJ
7302,NJ
7302,NJ
7302,NJ
7302,NJ
7303,NJ
7303,NJ
7303,NJ
7303,NJ
7304,NJ
7304,NJ
7304,NJ
7304,NJ
7305,NJ
7305,NJ
7305,NJ
7305,NJ
7306,NJ
7306,NJ
7306,NJ
7306,NJ
7307,NJ
7307,NJ
7307,NJ
7307,NJ
7308,NJ
7308,NJ
7308,NJ
7308,NJ
7310,NJ
7310,NJ
7310,NJ
7310,NJ
7311,NJ
7311,NJ
7311,NJ
7311,NJ
7395,NJ
7395,NJ
7395,NJ
7395,NJ
7399,NJ
7399,NJ
7399,NJ
7399,NJ
7608,NJ
7608,NJ
7608,NJ
7608,NJ
7701,NJ
7701,NJ
7701,NJ
7701,NJ
7702,NJ
7702,NJ
7702,NJ
7702,NJ
7703,NJ
7703,NJ
7703,NJ
7703,NJ
7704,NJ
7704,NJ
7704,NJ
7704,NJ
7710,NJ
7710,NJ
7710,NJ
7710,NJ
7711,NJ
7711,NJ
7711,NJ
7711,NJ
7712,NJ
7712,NJ
7712,NJ
7712,NJ
7715,NJ
7715,NJ
7715,NJ
7715,NJ
7716,NJ
7716,NJ
7716,NJ
7716,NJ
7717,NJ
7717,NJ
7717,NJ
7717,NJ
7718,NJ
7718,NJ
7718,NJ
7718,NJ
7719,NJ
7719,NJ
7719,NJ
7719,NJ
7720,NJ
7720,NJ
7720,NJ
7720,NJ
7721,NJ
7721,NJ
7721,NJ
7721,NJ
7722,NJ
7722,NJ
7722,NJ
